AP,Nombre_lista,Tipo_eleccion,Distrito,Cargo,Subcategoria Cargo,Posicion,Precandidatura,Genero,Edad
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,1,RITA VERONICA DEL VALLE PALACIOS,F,54
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,2,MARIANO LEONEL LEIVA,M,29
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,3,DAIANA SOLEDAD DE LA CANAL,F,29
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,4,MARTIN ALFREDO GARCIA DONA,M,30
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,5,CECILIA ROLON,F,71
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,6,JULIO CESAR PUEBLA,M,37
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,7,SILVIA ALVAREZ,F,65
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,8,PABLO KARIM AZAR,M,34
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,9,ZUNILDA VIVIANA RODRIGUEZ,F,26
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,10,FABIAN DAVID OCHOA,M,38
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,11,ROSANA SOLEDAD PALLAORO,F,30
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,12,GUILLERMO RAFAEL ESPOSITO,M,30
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,SILVIA MABEL VELASCO,F,34
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,CRISTIAN BENJAMIN CASTILLO,M,25
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,DANA PATRICIA GONZALEZ,F,33
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,OSVALDO HECTOR ARGÜELLO,M,51
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,NORA LILIAN MONTES,F,42
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,JUAN CARLOS MEZA,M,34
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,MARIA DE LOS ANGELES LOYOLA,F,27
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,FACUNDO ARIEL PEREYRA,M,26
BUENOS AIRES PRIMERO (BAP),LISTA UNICA,DISTRITAL,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,ANALIA SILVIA GABELA,F,51
